,country_code,sector_code,size_code,TIME_PERIOD,OBS_VALUE
country_code,1.0,,0.00032380072964068176,0.03542369058753969,-0.09554215926181966
sector_code,,,,,
size_code,0.00032380072964068176,,1.0,0.0013519831726994584,0.4556718253682648
TIME_PERIOD,0.03542369058753969,,0.0013519831726994584,1.0,-0.40836114883572155
OBS_VALUE,-0.09554215926181966,,0.4556718253682648,-0.40836114883572155,1.0
