SIZE_CLASS,count,mean,median,std,min,max
S_GE250,316,78.05649559447816,93.45564999999999,28.969766811912592,7.465048202,100.0
S50T249,314,69.10514915394418,86.136,32.49853699988248,2.3785,99.681
S10T49,315,57.32675583439934,69.07,29.538451964657693,1.0741,97.964
