SIZE_CLASS,count,mean,median,std
S_GE250,40,-6.504461781453836,-8.08999511194239,14.469600514400716
S50T249,40,-13.134715059427236,-14.415539795603793,8.328427101165127
S10T49,40,-14.68100889356396,-16.24680700044297,10.533092700932523
